NXST_FLOW reply (xid=0x4):
 cookie=0x0, duration=9.315s, table=0, n_packets=7, n_bytes=566, idle_timeout=10, hard_timeout=30, idle_age=9, priority=65535,tcp,in_port=1,vlan_tci=0x0000,dl_src=00:00:00:00:00:01,dl_dst=00:00:00:00:00:07,nw_src=10.0.0.1,nw_dst=10.0.0.7,nw_tos=0,tp_src=48354,tp_dst=8000 actions=output:11
 cookie=0x0, duration=8.299s, table=0, n_packets=7, n_bytes=566, idle_timeout=10, hard_timeout=30, idle_age=8, priority=65535,tcp,in_port=1,vlan_tci=0x0000,dl_src=00:00:00:00:00:01,dl_dst=00:00:00:00:00:07,nw_src=10.0.0.1,nw_dst=10.0.0.7,nw_tos=0,tp_src=48358,tp_dst=8000 actions=output:11
 cookie=0x0, duration=5.19s, table=0, n_packets=7, n_bytes=566, idle_timeout=10, hard_timeout=30, idle_age=5, priority=65535,tcp,in_port=1,vlan_tci=0x0000,dl_src=00:00:00:00:00:01,dl_dst=00:00:00:00:00:07,nw_src=10.0.0.1,nw_dst=10.0.0.7,nw_tos=0,tp_src=48370,tp_dst=8000 actions=output:11
 cookie=0x0, duration=6.208s, table=0, n_packets=7, n_bytes=566, idle_timeout=10, hard_timeout=30, idle_age=6, priority=65535,tcp,in_port=1,vlan_tci=0x0000,dl_src=00:00:00:00:00:01,dl_dst=00:00:00:00:00:07,nw_src=10.0.0.1,nw_dst=10.0.0.7,nw_tos=0,tp_src=48366,tp_dst=8000 actions=output:11
 cookie=0x0, duration=5.155s, table=0, n_packets=5, n_bytes=439, idle_timeout=10, hard_timeout=30, idle_age=5, priority=65535,tcp,in_port=11,vlan_tci=0x0000,dl_src=00:00:00:00:00:07,dl_dst=00:00:00:00:00:01,nw_src=10.0.0.7,nw_dst=10.0.0.1,nw_tos=0,tp_src=8000,tp_dst=48370 actions=output:1
 cookie=0x0, duration=10.336s, table=0, n_packets=7, n_bytes=566, idle_timeout=10, hard_timeout=30, idle_age=10, priority=65535,tcp,in_port=1,vlan_tci=0x0000,dl_src=00:00:00:00:00:01,dl_dst=00:00:00:00:00:07,nw_src=10.0.0.1,nw_dst=10.0.0.7,nw_tos=0,tp_src=48350,tp_dst=8000 actions=output:11
 cookie=0x0, duration=0.022s, table=0, n_packets=5, n_bytes=439, idle_timeout=10, hard_timeout=30, idle_age=0, priority=65535,tcp,in_port=11,vlan_tci=0x0000,dl_src=00:00:00:00:00:07,dl_dst=00:00:00:00:00:01,nw_src=10.0.0.7,nw_dst=10.0.0.1,nw_tos=0,tp_src=8000,tp_dst=48390 actions=output:1
 cookie=0x0, duration=1.047s, table=0, n_packets=7, n_bytes=566, idle_timeout=10, hard_timeout=30, idle_age=1, priority=65535,tcp,in_port=1,vlan_tci=0x0000,dl_src=00:00:00:00:00:01,dl_dst=00:00:00:00:00:07,nw_src=10.0.0.1,nw_dst=10.0.0.7,nw_tos=0,tp_src=48386,tp_dst=8000 actions=output:11
 cookie=0x0, duration=8.263s, table=0, n_packets=5, n_bytes=439, idle_timeout=10, hard_timeout=30, idle_age=8, priority=65535,tcp,in_port=11,vlan_tci=0x0000,dl_src=00:00:00:00:00:07,dl_dst=00:00:00:00:00:01,nw_src=10.0.0.7,nw_dst=10.0.0.1,nw_tos=0,tp_src=8000,tp_dst=48358 actions=output:1
 cookie=0x0, duration=3.118s, table=0, n_packets=7, n_bytes=566, idle_timeout=10, hard_timeout=30, idle_age=3, priority=65535,tcp,in_port=1,vlan_tci=0x0000,dl_src=00:00:00:00:00:01,dl_dst=00:00:00:00:00:07,nw_src=10.0.0.1,nw_dst=10.0.0.7,nw_tos=0,tp_src=48378,tp_dst=8000 actions=output:11
 cookie=0x0, duration=7.232s, table=0, n_packets=7, n_bytes=566, idle_timeout=10, hard_timeout=30, idle_age=7, priority=65535,tcp,in_port=1,vlan_tci=0x0000,dl_src=00:00:00:00:00:01,dl_dst=00:00:00:00:00:07,nw_src=10.0.0.1,nw_dst=10.0.0.7,nw_tos=0,tp_src=48362,tp_dst=8000 actions=output:11
 cookie=0x0, duration=9.315s, table=0, n_packets=5, n_bytes=439, idle_timeout=10, hard_timeout=30, idle_age=9, priority=65535,tcp,in_port=11,vlan_tci=0x0000,dl_src=00:00:00:00:00:07,dl_dst=00:00:00:00:00:01,nw_src=10.0.0.7,nw_dst=10.0.0.1,nw_tos=0,tp_src=8000,tp_dst=48354 actions=output:1
 cookie=0x0, duration=2.102s, table=0, n_packets=7, n_bytes=566, idle_timeout=10, hard_timeout=30, idle_age=2, priority=65535,tcp,in_port=1,vlan_tci=0x0000,dl_src=00:00:00:00:00:01,dl_dst=00:00:00:00:00:07,nw_src=10.0.0.1,nw_dst=10.0.0.7,nw_tos=0,tp_src=48382,tp_dst=8000 actions=output:11
 cookie=0x0, duration=6.206s, table=0, n_packets=5, n_bytes=439, idle_timeout=10, hard_timeout=30, idle_age=6, priority=65535,tcp,in_port=11,vlan_tci=0x0000,dl_src=00:00:00:00:00:07,dl_dst=00:00:00:00:00:01,nw_src=10.0.0.7,nw_dst=10.0.0.1,nw_tos=0,tp_src=8000,tp_dst=48366 actions=output:1
 cookie=0x0, duration=7.232s, table=0, n_packets=5, n_bytes=439, idle_timeout=10, hard_timeout=30, idle_age=7, priority=65535,tcp,in_port=11,vlan_tci=0x0000,dl_src=00:00:00:00:00:07,dl_dst=00:00:00:00:00:01,nw_src=10.0.0.7,nw_dst=10.0.0.1,nw_tos=0,tp_src=8000,tp_dst=48362 actions=output:1
 cookie=0x0, duration=0.022s, table=0, n_packets=7, n_bytes=566, idle_timeout=10, hard_timeout=30, idle_age=0, priority=65535,tcp,in_port=1,vlan_tci=0x0000,dl_src=00:00:00:00:00:01,dl_dst=00:00:00:00:00:07,nw_src=10.0.0.1,nw_dst=10.0.0.7,nw_tos=0,tp_src=48390,tp_dst=8000 actions=output:11
 cookie=0x0, duration=2.067s, table=0, n_packets=5, n_bytes=439, idle_timeout=10, hard_timeout=30, idle_age=2, priority=65535,tcp,in_port=11,vlan_tci=0x0000,dl_src=00:00:00:00:00:07,dl_dst=00:00:00:00:00:01,nw_src=10.0.0.7,nw_dst=10.0.0.1,nw_tos=0,tp_src=8000,tp_dst=48382 actions=output:1
 cookie=0x0, duration=1.047s, table=0, n_packets=5, n_bytes=439, idle_timeout=10, hard_timeout=30, idle_age=1, priority=65535,tcp,in_port=11,vlan_tci=0x0000,dl_src=00:00:00:00:00:07,dl_dst=00:00:00:00:00:01,nw_src=10.0.0.7,nw_dst=10.0.0.1,nw_tos=0,tp_src=8000,tp_dst=48386 actions=output:1
 cookie=0x0, duration=4.135s, table=0, n_packets=7, n_bytes=566, idle_timeout=10, hard_timeout=30, idle_age=4, priority=65535,tcp,in_port=1,vlan_tci=0x0000,dl_src=00:00:00:00:00:01,dl_dst=00:00:00:00:00:07,nw_src=10.0.0.1,nw_dst=10.0.0.7,nw_tos=0,tp_src=48374,tp_dst=8000 actions=output:11
 cookie=0x0, duration=3.118s, table=0, n_packets=5, n_bytes=439, idle_timeout=10, hard_timeout=30, idle_age=3, priority=65535,tcp,in_port=11,vlan_tci=0x0000,dl_src=00:00:00:00:00:07,dl_dst=00:00:00:00:00:01,nw_src=10.0.0.7,nw_dst=10.0.0.1,nw_tos=0,tp_src=8000,tp_dst=48378 actions=output:1
 cookie=0x0, duration=4.135s, table=0, n_packets=5, n_bytes=439, idle_timeout=10, hard_timeout=30, idle_age=4, priority=65535,tcp,in_port=11,vlan_tci=0x0000,dl_src=00:00:00:00:00:07,dl_dst=00:00:00:00:00:01,nw_src=10.0.0.7,nw_dst=10.0.0.1,nw_tos=0,tp_src=8000,tp_dst=48374 actions=output:1
 cookie=0x0, duration=10.336s, table=0, n_packets=5, n_bytes=439, idle_timeout=10, hard_timeout=30, idle_age=10, priority=65535,tcp,in_port=11,vlan_tci=0x0000,dl_src=00:00:00:00:00:07,dl_dst=00:00:00:00:00:01,nw_src=10.0.0.7,nw_dst=10.0.0.1,nw_tos=0,tp_src=8000,tp_dst=48350 actions=output:1
