NXST_FLOW reply (xid=0x4):
 cookie=0x0, duration=10.356s, table=0, n_packets=5, n_bytes=439, idle_timeout=10, hard_timeout=30, idle_age=10, priority=65535,tcp,in_port=1,vlan_tci=0x0000,dl_src=00:00:00:00:00:07,dl_dst=00:00:00:00:00:01,nw_src=10.0.0.7,nw_dst=10.0.0.1,nw_tos=0,tp_src=8000,tp_dst=48350 actions=output:5
 cookie=0x0, duration=4.155s, table=0, n_packets=7, n_bytes=566, idle_timeout=10, hard_timeout=30, idle_age=4, priority=65535,tcp,in_port=5,vlan_tci=0x0000,dl_src=00:00:00:00:00:01,dl_dst=00:00:00:00:00:07,nw_src=10.0.0.1,nw_dst=10.0.0.7,nw_tos=0,tp_src=48374,tp_dst=8000 actions=output:1
 cookie=0x0, duration=2.035s, table=0, n_packets=5, n_bytes=439, idle_timeout=10, hard_timeout=30, idle_age=2, priority=65535,tcp,in_port=8,vlan_tci=0x0000,dl_src=00:00:00:00:00:0a,dl_dst=00:00:00:00:00:07,nw_src=10.0.0.10,nw_dst=10.0.0.7,nw_tos=0,tp_src=8000,tp_dst=57166 actions=output:1
 cookie=0x0, duration=4.155s, table=0, n_packets=5, n_bytes=439, idle_timeout=10, hard_timeout=30, idle_age=4, priority=65535,tcp,in_port=1,vlan_tci=0x0000,dl_src=00:00:00:00:00:07,dl_dst=00:00:00:00:00:01,nw_src=10.0.0.7,nw_dst=10.0.0.1,nw_tos=0,tp_src=8000,tp_dst=48374 actions=output:5
 cookie=0x0, duration=8.262s, table=0, n_packets=7, n_bytes=568, idle_timeout=10, hard_timeout=30, idle_age=8, priority=65535,tcp,in_port=1,vlan_tci=0x0000,dl_src=00:00:00:00:00:07,dl_dst=00:00:00:00:00:0a,nw_src=10.0.0.7,nw_dst=10.0.0.10,nw_tos=0,tp_src=57142,tp_dst=8000 actions=output:8
 cookie=0x0, duration=10.34s, table=0, n_packets=7, n_bytes=568, idle_timeout=10, hard_timeout=30, idle_age=10, priority=65535,tcp,in_port=1,vlan_tci=0x0000,dl_src=00:00:00:00:00:07,dl_dst=00:00:00:00:00:0a,nw_src=10.0.0.7,nw_dst=10.0.0.10,nw_tos=0,tp_src=57134,tp_dst=8000 actions=output:8
 cookie=0x0, duration=1.067s, table=0, n_packets=7, n_bytes=566, idle_timeout=10, hard_timeout=30, idle_age=1, priority=65535,tcp,in_port=5,vlan_tci=0x0000,dl_src=00:00:00:00:00:01,dl_dst=00:00:00:00:00:07,nw_src=10.0.0.1,nw_dst=10.0.0.7,nw_tos=0,tp_src=48386,tp_dst=8000 actions=output:1
 cookie=0x0, duration=5.21s, table=0, n_packets=7, n_bytes=566, idle_timeout=10, hard_timeout=30, idle_age=5, priority=65535,tcp,in_port=5,vlan_tci=0x0000,dl_src=00:00:00:00:00:01,dl_dst=00:00:00:00:00:07,nw_src=10.0.0.1,nw_dst=10.0.0.7,nw_tos=0,tp_src=48370,tp_dst=8000 actions=output:1
 cookie=0x0, duration=2.122s, table=0, n_packets=7, n_bytes=566, idle_timeout=10, hard_timeout=30, idle_age=2, priority=65535,tcp,in_port=5,vlan_tci=0x0000,dl_src=00:00:00:00:00:01,dl_dst=00:00:00:00:00:07,nw_src=10.0.0.1,nw_dst=10.0.0.7,nw_tos=0,tp_src=48382,tp_dst=8000 actions=output:1
 cookie=0x0, duration=0.042s, table=0, n_packets=7, n_bytes=566, idle_timeout=10, hard_timeout=30, idle_age=0, priority=65535,tcp,in_port=5,vlan_tci=0x0000,dl_src=00:00:00:00:00:01,dl_dst=00:00:00:00:00:07,nw_src=10.0.0.1,nw_dst=10.0.0.7,nw_tos=0,tp_src=48390,tp_dst=8000 actions=output:1
 cookie=0x0, duration=8.227s, table=0, n_packets=5, n_bytes=439, idle_timeout=10, hard_timeout=30, idle_age=8, priority=65535,tcp,in_port=8,vlan_tci=0x0000,dl_src=00:00:00:00:00:0a,dl_dst=00:00:00:00:00:07,nw_src=10.0.0.10,nw_dst=10.0.0.7,nw_tos=0,tp_src=8000,tp_dst=57142 actions=output:1
 cookie=0x0, duration=10.307s, table=0, n_packets=5, n_bytes=439, idle_timeout=10, hard_timeout=30, idle_age=10, priority=65535,tcp,in_port=8,vlan_tci=0x0000,dl_src=00:00:00:00:00:0a,dl_dst=00:00:00:00:00:07,nw_src=10.0.0.10,nw_dst=10.0.0.7,nw_tos=0,tp_src=8000,tp_dst=57134 actions=output:1
